tweet_id,intent
1000131,account_access
1000205,product_defect
1000089,refund_request
1000059,delivery_issue
1000133,account_access
1000079,refund_request
1000279,complaint_escalation
1000015,order_status
1000271,complaint_escalation
1000189,billing_issue
1000315,general_inquiry
1000147,account_access
1000179,billing_issue
1000197,product_defect
1000125,return_request
1000263,complaint_escalation
1000123,return_request
1000277,complaint_escalation
1000333,positive_feedback
1000261,complaint_escalation
1000151,account_access
1000043,delivery_issue
1000155,account_access
1000219,product_defect
1000345,positive_feedback
1000331,positive_feedback
1000055,delivery_issue
1000351,positive_feedback
1000343,positive_feedback
1000289,general_inquiry
1000117,return_request
1000057,delivery_issue
1000145,account_access
1000097,return_request
1000319,general_inquiry
1000245,cancellation
1000037,delivery_issue
1000083,refund_request
1000297,general_inquiry
1000081,refund_request
1000129,account_access
1000299,general_inquiry
1000335,positive_feedback
1000339,positive_feedback
1000071,refund_request
1000349,positive_feedback
1000237,cancellation
1000143,account_access
1000157,account_access
1000109,return_request
1000303,general_inquiry
1000053,delivery_issue
1000141,account_access
1000223,product_defect
1000253,cancellation
1000265,complaint_escalation
1000221,product_defect
1000225,cancellation
1000005,order_status
1000247,cancellation
1000091,refund_request
1000077,refund_request
1000255,cancellation
1000121,return_request
1000317,general_inquiry
1000233,cancellation
1000165,billing_issue
1000137,account_access
1000327,positive_feedback
1000139,account_access
1000011,order_status
1000291,general_inquiry
1000241,cancellation
1000301,general_inquiry
1000287,complaint_escalation
1000181,billing_issue
1000259,complaint_escalation
1000177,billing_issue
1000251,cancellation
1000049,delivery_issue
1000149,account_access
1000325,positive_feedback
1000175,billing_issue
1000063,delivery_issue
1000113,return_request
1000067,refund_request
1000337,positive_feedback
1000069,refund_request
1000171,billing_issue
1000173,billing_issue
1000215,product_defect
1000293,general_inquiry
1000025,order_status
1000019,order_status
1000323,positive_feedback
1000217,product_defect
1000257,complaint_escalation
1000009,order_status
1000167,billing_issue
1000105,return_request
1000295,general_inquiry
1000285,complaint_escalation
1000051,delivery_issue
1000267,complaint_escalation
1000273,complaint_escalation
1000201,product_defect
1000093,refund_request
1000061,delivery_issue
1000039,delivery_issue
1000003,order_status
1000047,delivery_issue
1000275,complaint_escalation
1000209,product_defect
1000111,return_request
1000065,refund_request
1000203,product_defect
1000281,complaint_escalation
1000199,product_defect
1000329,positive_feedback
1000007,order_status
1000309,general_inquiry
1000283,complaint_escalation
1000207,product_defect
1000235,cancellation
1000307,general_inquiry
1000185,billing_issue
1000001,order_status
1000153,account_access
1000163,billing_issue
1000135,account_access
1000023,order_status
1000311,general_inquiry
1000347,positive_feedback
1000033,delivery_issue
1000193,product_defect
1000021,order_status
1000127,return_request
1000211,product_defect
1000187,billing_issue
1000099,return_request
1000229,cancellation
1000191,billing_issue
1000101,return_request
1000243,cancellation
1000045,delivery_issue
1000159,account_access
1000183,billing_issue
1000195,product_defect
1000107,return_request
1000341,positive_feedback
1000087,refund_request
1000227,cancellation
1000017,order_status
1000269,complaint_escalation
1000321,positive_feedback
1000169,billing_issue
1000085,refund_request
1000041,delivery_issue
1000161,billing_issue
1000231,cancellation
1000095,refund_request
1000031,order_status
1000027,order_status
1000213,product_defect
1000073,refund_request
1000013,order_status
1000075,refund_request
1000305,general_inquiry
1000029,order_status
1000249,cancellation
1000115,return_request
1000313,general_inquiry
1000239,cancellation
1000119,return_request
1000103,return_request
1000035,delivery_issue
